21.0,9.0,12.0,8.0,100.0,46.0,1022.0,1018.0,2.0,0.0,14.0,Fog
21.0,8.0,12.0,8.0,100.0,49.0,1020.0,1015.0,3.0,0.0,14.0,Fog
21.0,9.0,11.0,7.0,100.0,40.0,1018.0,1015.0,4.0,0.0,10.0,Fog
21.0,11.0,12.0,7.0,94.0,40.0,1019.0,1015.0,4.0,0.0,14.0,Fog
22.0,11.0,11.0,4.0,100.0,31.0,1019.0,1016.0,4.0,0.0,10.0,Fog
20.0,9.0,13.0,8.0,100.0,46.0,1022.0,1019.0,2.0,0.0,14.0,Fog
20.0,7.0,10.0,3.0,100.0,33.0,1022.0,1019.0,5.0,0.0,19.0,Fog
20.0,7.0,13.0,4.0,93.0,35.0,1024.0,1020.0,4.0,1.0,13.0,Fog
19.0,7.0,9.0,5.0,100.0,40.0,1023.0,1020.0,4.0,1.0,13.0,Fog
19.0,7.0,9.0,4.0,100.0,37.0,1022.0,1018.0,4.0,1.0,19.0,Fog
19.0,7.0,8.0,5.0,100.0,43.0,1022.0,1019.0,3.0,1.0,13.0,Fog
19.0,8.0,9.0,6.0,93.0,43.0,1022.0,1018.0,3.0,0.0,13.0,Fog
18.0,6.0,8.0,4.0,100.0,40.0,1021.0,1016.0,3.0,0.0,14.0,Fog
19.0,5.0,8.0,2.0,100.0,32.0,1020.0,1016.0,2.0,0.0,10.0,Fog
20.0,7.0,9.0,4.0,93.0,35.0,1020.0,1016.0,3.0,0.0,11.0,Fog
14.0,6.0,8.0,6.0,100.0,67.0,1021.0,1017.0,1.0,0.0,11.0,Fog
20.0,8.0,9.0,3.0,100.0,33.0,1020.0,1016.0,4.0,1.0,19.0,Fog
22.0,7.0,6.0,-3.0,87.0,19.0,1020.0,1015.0,5.0,0.0,10.0,Fog
15.0,11.0,12.0,4.0,100.0,54.0,1015.0,1008.0,2.0,1.0,40.0,Thunderstorm
16.0,10.0,13.0,9.0,100.0,63.0,1013.0,1010.0,2.0,0.0,14.0,Fog
16.0,8.0,11.0,8.0,100.0,63.0,1019.0,1014.0,2.0,0.0,6.0,Fog
15.0,6.0,10.0,6.0,100.0,63.0,1021.0,1017.0,3.0,0.0,23.0,Fog
16.0,6.0,9.0,6.0,100.0,52.0,1018.0,1015.0,4.0,0.0,27.0,Fog
17.0,6.0,9.0,5.0,100.0,45.0,1017.0,1013.0,2.0,0.0,23.0,Fog
19.0,5.0,7.0,3.0,100.0,35.0,1019.0,1014.0,4.0,1.0,24.0,Fog
19.0,5.0,10.0,5.0,100.0,46.0,1019.0,1015.0,4.0,0.0,14.0,Fog
20.0,11.0,12.0,3.0,100.0,35.0,1019.0,1015.0,2.0,0.0,14.0,Fog
19.0,6.0,11.0,6.0,100.0,49.0,1020.0,1016.0,3.0,0.0,23.0,Fog
18.0,7.0,11.0,7.0,100.0,52.0,1017.0,1013.0,4.0,0.0,21.0,Fog
